fips,num_beds,num_icu,bed_util
20155,200,20,0.2316975
20157,25,4,0.644055
20159,25,4,0.499397
20161,163,10,0.321728
20163,20,3,0.3375
20165,25,3,1
20167,25,3,0.33113
20169,392,21,0.434241
20171,25,4,0.404603
20173,2598,188,0.465885686
20175,69,8,0.283774
20177,964,45,0.476462
20179,18,3,0.229224
20181,25,4,0.240277
20183,25,3,0.325514
20185,25,4,0.197041
20187,18,3,0.144349
20189,25,3,0.194359
20191,25,4,0.3164932
20193,25,1,0.475016
20195,25,4,0.428932
20201,50,8,0.530849
20203,25,4,0.645699
20205,40,7,0.301589
20209,1336,161,0.625792
21003,25,4,0.753315
21009,180,10,0.461771
21013,216,14,0.330429
21015,231,18,0.725647
21017,58,4,0.29863
21019,455,38,0.378831
21021,197,22,0.395794
21025,55,4,0.309701
21027,25,4,0.443945
21033,25,4,0.264657
21035,152,10,0.463097
21037,178,21,0.668238
21041,25,4,0.169425
21045,24,4,0.822831
21047,194,18,0.355094
21049,54,8,0.44962
21051,49,6,0.296338
21053,42,7,0.210743
21055,48,8,0.170091
21057,25,4,0.321096
21059,447,32,0.392666
21065,25,4,0.526137
21067,1565,280,0.632315575
21069,25,3,0.113593
21071,224,20,0.293594333
21073,173,10,0.574445
21081,25,3,0.105205
21083,107,8,0.450094
21085,75,6,0.318466
21087,35,4,0.788493
21089,190,12,0.575789
21093,285,10,0.501867
21095,150,7,0.426957
21097,61,6,0.175432
21099,25,4,0.312
21101,192,12,0.323148
21107,390,19,0.56151
21111,2270,522,0.68143665
21115,72,6,0.280479
21117,459,46,0.727047
21121,25,6,0.341918
21125,150,14,0.634944
21127,90,6,0.203836
21131,25,4,0.436712
21133,90,6,0.43032
21137,25,4,0.455233
21139,25,4,0.33052
21141,75,6,0.105352
21145,708,34,0.4061065
21151,130,12,0.457242
21155,75,6,0.099152
21157,25,4,0.321644
21161,100,5,0.16748
21167,25,4,0.324164
21171,49,9,0.263741
21173,42,4,0.409524
21175,25,4,0.076384
21177,90,6,0.273098
21179,40,4,0.447192
21183,25,4,0.376877
21185,90,8,0.213759
21193,358,32,0.66165
21195,453,85,0.544006
21199,283,38,0.458249
21203,26,4,0.502192
21205,149,14,0.444245
21207,25,2,0.323616
21209,75,6,0.204055
21211,70,4,0.096438
21213,25,4,0.74937
21217,90,8,0.285236
21221,25,4,0.401205
21225,25,4,0.462027
21227,548,32,0.5394655
